top - 15:24:52 up  1:15,  2 users,  load average: 0.20, 0.34, 0.36
Tasks: 287 total,   1 running, 286 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.0 us,  0.2 sy,  0.0 ni, 97.8 id,  1.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  32873596 total,  3227712 used, 29645884 free,   278480 buffers
KiB Swap:  7811068 total,        0 used,  7811068 free.  1056636 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1492 daemon    20   0   52388   9516   7520 S   0.0  0.0   0:01.27 .vasd
 1493 daemon    20   0   54236  11912   9968 S   0.0  0.0   0:00.44 .vasd
 1494 daemon    20   0   51476   8188   7124 S   0.0  0.0   0:00.02 .vasd
 1495 daemon    20   0   53408  10136   9156 S   0.0  0.0   0:00.03 .vasd
 1553 root      20   0   21376   2896   2600 S   0.0  0.0   0:00.01 master
 1621 root      20   0  276464   8480   5616 S   0.0  0.0   0:00.04 lightdm
 1634 root      20   0  493856 163420 140100 S   0.0  0.5   0:38.24 Xorg
 1638 root      20   0  285960   6940   6056 S   0.0  0.0   0:00.11 accounts-d+
 1676 root      20   0   11624   2588   2388 S   0.0  0.0   0:00.00 sh
 1679 root      20   0   15724   2572   2020 S   0.0  0.0   0:00.01 initctl
 1685 root      20   0  170676  38376   5824 S   0.0  0.1   0:00.22 puppet
 1730 root      20   0   31964   2584   2232 S   0.0  0.0   0:00.00 atieventsd
 1731 root      20   0   11664   2800   2540 S   0.0  0.0   0:00.00 authatieve+
 1752 root      20   0   11664   1672   1412 S   0.0  0.0   0:00.00 authatieve+
 1753 root      20   0   20212   1204   1052 S   0.0  0.0   0:00.00 xauth
 1754 root      20   0    8868    824    732 S   0.0  0.0   0:00.00 grep
 1786 root      20   0       0      0      0 S   0.0  0.0   0:00.02 firegl
 1787 root      20   0       0      0      0 S   0.0  0.0   0:00.00 firegl
 1788 root      20   0       0      0      0 S   0.0  0.0   0:00.00 firegl
 1796 root      20   0  782308  17576   5424 S   0.0  0.1   0:02.04 fail2ban-s+
 1819 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
 1900 root      20   0    9728   1804   1684 S   0.0  0.0   0:00.00 getty
 1941 root      20   0    8348   5204   2864 S   0.0  0.0   0:00.00 dhclient
 1968 nobody    20   0   24936   3052   2824 S   0.0  0.0   0:00.19 dnsmasq
 2253 postfix   20   0   32272   3316   2996 S   0.0  0.0   0:00.00 pickup
 2254 postfix   20   0   32440   3476   3128 S   0.0  0.0   0:00.00 qmgr
 2313 ntp       20   0   32188   4076   3600 S   0.0  0.0   0:00.14 ntpd
 2400 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/6:2
 2419 root      20   0       0      0      0 S   0.0  0.0   0:00.00 lockd
 2532 root      20   0 4197572   6212   5120 S   0.0  0.0   0:00.01 console-ki+
 3035 root      20   0   70520   6212   5216 S   0.0  0.0   0:00.00 cupsd
 3267 root      20   0       0      0      0 S   0.0  0.0   0:00.07 kworker/4:2
 3280 root      20   0  169092   7040   6256 S   0.0  0.0   0:00.01 lightdm
 3289 schra447  20   0  293108   7040   6360 S   0.0  0.0   0:00.01 gnome-keyr+
 3292 schra447  20   0   36876   4532   3528 S   0.0  0.0   0:00.09 init
 3367 schra447  20   0  363232  12840  11476 S   0.0  0.0   0:00.00 kamsg
 3368 schra447  20   0  192848   4312   3604 S   0.0  0.0   0:00.14 KeyAccess
 3407 schra447  20   0   29320   2032   1756 S   0.0  0.0   0:00.00 dbus-launch
 3408 schra447  20   0   39748   2344   1988 S   0.0  0.0   0:00.00 dbus-daemon
 3433 schra447  20   0   40744   3448   2148 S   0.0  0.0   0:00.47 dbus-daemon
 3445 schra447  20   0   18348   2296   2140 S   0.0  0.0   0:00.00 upstart-ev+
 3451 schra447  20   0   74244   7944   7416 S   0.0  0.0   0:00.02 window-sta+
 3465 schra447  20   0  618364  20116  14860 S   0.0  0.1   0:00.61 bamfdaemon
 3467 schra447  20   0  356576   7132   5432 S   0.0  0.0   0:03.26 ibus-daemon
 3485 schra447  20   0  337644   7656   5148 S   0.0  0.0   0:00.00 at-spi-bus+
 3489 schra447  20   0   39880   3824   3320 S   0.0  0.0   0:00.01 dbus-daemon
 3492 schra447  20   0  124916   4856   4424 S   0.0  0.0   0:00.03 at-spi2-re+
 3498 schra447  20   0  192692   5636   5020 S   0.0  0.0   0:00.01 gvfsd
 3505 schra447  20   0  345668   5652   5016 S   0.0  0.0   0:00.00 gvfsd-fuse
 3515 schra447  20   0  178328   4992   4460 S   0.0  0.0   0:00.08 dconf-serv+
 3540 schra447  20   0   18356    212      0 S   0.0  0.0   0:00.06 upstart-db+
 3542 schra447  20   0   18356    212      0 S   0.0  0.0   0:00.01 upstart-db+
 3544 schra447  20   0   27432    256      0 S   0.0  0.0   0:00.00 upstart-fi+
 3546 schra447  20   0  276924   6452   5828 S   0.0  0.0   0:00.00 ibus-dconf
 3547 schra447  20   0  548432  24584  19764 S   0.0  0.1   0:00.68 ibus-ui-gt+
 3549 schra447  20   0  382932  15756  12164 S   0.0  0.0   0:00.01 ibus-x11
 3571 schra447  20   0  201200   6216   5640 S   0.0  0.0   0:00.36 ibus-engin+
 3586 schra447  20   0   52936   6680   4864 S   0.0  0.0   0:00.03 gconfd-2
 3622 schra447  20   0  737544  28328  21984 S   0.0  0.1   0:00.41 unity-sett+
 3625 schra447  20   0  695096  44936  30844 S   0.0  0.1   0:00.52 hud-service
 3630 schra447  20   0  578516  19348  15808 S   0.0  0.1   0:00.10 gnome-sess+
 3638 schra447  20   0  564556  28272  21060 S   0.0  0.1   0:01.11 unity-pane+
 3658 root      20   0  239356   7200   6216 S   0.0  0.0   0:00.02 upowerd
 3674 schra447  20   0  727168  24340  17248 S   0.0  0.1   0:00.08 indicator-+
 3685 schra447  20   0  331200   7340   4844 S   0.0  0.0   0:00.00 indicator-+
 3690 schra447  20   0  259756   4924   4536 S   0.0  0.0   0:00.00 indicator-+
 3694 schra447  20   0  274580   5832   5256 S   0.0  0.0   0:00.00 indicator-+
 3702 schra447  20   0  830140  17644  12688 S   0.0  0.1   0:00.06 indicator-+
 3713 schra447  20   0  476136   9560   8196 S   0.0  0.0   0:00.03 indicator-+
 3722 schra447  20   0  443772  22244  16276 S   0.0  0.1   0:00.06 indicator-+
 3730 schra447  20   0  872420   8024   5188 S   0.0  0.0   0:00.04 indicator-+
 3784 schra447  20   0  286756   8572   7524 S   0.0  0.0   0:00.00 indicator-+
 3809 schra447  20   0  476992  16748  14092 S   0.0  0.1   0:00.04 evolution-+
 3875 schra447   9 -11  443672  10184   7852 S   0.0  0.0   0:05.20 pulseaudio
 3877 rtkit     21   1  162584   2328   2140 S   0.0  0.0   0:00.01 rtkit-daem+
 3975 colord    20   0  300560  11552   7720 S   0.0  0.0   0:00.13 colord
 3987 schra447  20   0  336412  17368  14516 S   0.0  0.1   0:00.04 notify-osd
 3999 schra447  20   0 1384344 156368  92352 S   0.0  0.5   0:19.60 compiz
 4007 schra447  20   0  810916  52676  14716 S   0.0  0.2   0:00.07 evolution-+
 4016 schra447  20   0  120492   5324   4824 S   0.0  0.0   0:00.00 gvfsd-meta+
 4030 schra447  20   0  399348  16768  13952 S   0.0  0.1   0:00.04 unity-fall+
 4032 schra447  20   0 1040052  50996  39532 S   0.0  0.2   0:00.82 nautilus
 4035 schra447  20   0  635796  42772  26556 S   0.0  0.1   0:00.13 blueman-ap+
 4037 schra447  20   0  327752  16624  13824 S   0.0  0.1   0:00.04 polkit-gno+
 4049 schra447  20   0  293488  10952   6812 S   0.0  0.0   0:00.18 gvfs-udisk+
 4053 root      20   0  365348   9988   5828 S   0.0  0.0   0:00.39 udisksd
 4067 schra447  20   0  196324   5320   4752 S   0.0  0.0   0:00.00 gvfs-mtp-v+
 4071 schra447  20   0  208488   7856   5112 S   0.0  0.0   0:00.00 gvfs-gphot+
 4075 schra447  20   0  282012   6200   5600 S   0.0  0.0   0:00.00 gvfs-afc-v+
 4086 schra447  20   0   54156   5108   4660 S   0.0  0.0   0:00.00 obex-data-+
 4089 schra447  20   0  355588   6552   5696 S   0.0  0.0   0:00.06 gvfsd-trash
 4097 schra447  20   0  266424   5060   4576 S   0.0  0.0   0:00.00 gvfsd-burn
 4102 schra447  20   0 1324000 192608  99036 S   0.0  0.6   0:56.81 chrome
 4111 schra447  20   0    7460    676    596 S   0.0  0.0   0:00.00 cat
 4112 schra447  20   0    7460    828    752 S   0.0  0.0   0:00.00 cat
 4115 schra447  20   0  346052  42596  34836 S   0.0  0.1   0:00.01 chrome
 4116 schra447  20   0   87124   7148   6000 S   0.0  0.0   0:00.00 nacl_helper
 4119 schra447  20   0  354248  13076   5300 S   0.0  0.0   0:00.02 chrome
